Gene ID,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20
ENSG00000025423.11,7,12,21,3,5,22,20,13,22,6,0,15,2,42,5,6,11,3,3,6,62,25,3,40,6,31,9,5,7,3,9,2,3,1,2,3,3,80,8,2
ENSG00000025434.19,414,488,569,101,69,892,411,727,96,115,72,1720,144,385,284,85,472,202,46,332,1412,283,131,1352,70,259,170,367,1436,91,140,53,136,46,186,40,158,315,80,127
ENSG00000025708.14,609,977,707,267,1652,1122,255,2187,3886,7926,1247,1159,568,5041,1653,455,2920,70,1089,106,962,2428,1669,5484,427,152,476,793,158,166,1638,1444,1004,2011,1309,2287,782,2715,484,1216
ENSG00000025770.19,3434,1439,2980,1261,2460,5766,6896,3025,4498,3618,1770,5290,2231,2944,1435,584,1642,3703,667,1958,3511,2951,1732,2730,1818,2922,1426,1836,959,1433,3657,2745,1986,2658,2648,1779,850,5738,2543,1644
ENSG00000025772.8,2314,899,772,1247,389,4491,3371,2027,1620,754,944,1177,675,1931,418,639,490,1636,684,1670,3913,823,943,3425,333,627,775,396,902,632,2280,882,463,483,384,288,415,1849,946,617
ENSG00000025796.14,6221,5084,2790,4109,4048,16352,7644,4217,4848,4185,6500,6772,3591,11480,3862,1297,3314,4987,1707,1569,5018,5598,3771,11792,6847,6277,7922,5429,7377,5662,9581,8058,5184,3714,5449,2859,10139,8298,5153,6011
ENSG00000025800.14,12803,8045,3801,5620,5456,8407,8854,4884,8199,9787,6744,5611,4382,6094,4720,1353,4413,5201,2222,1586,6921,3353,4588,3660,5454,3940,7244,6578,5009,5041,6887,6032,6058,2838,5221,2737,4028,14053,8159,8065
ENSG00000026025.16,37842,61499,17430,10251,34005,43123,34682,144849,22417,28511,66283,53058,7473,225470,17238,2050,26070,2783,23584,9382,126855,24312,50636,481178,13362,5003,15237,10311,19524,22640,81414,25210,9051,13139,17982,13281,14072,57790,19515,17880
ENSG00000026036.22,364,199,593,107,227,215,317,241,221,827,147,445,246,131,162,22,280,405,30,106,122,405,121,20,172,275,207,231,211,213,315,309,338,760,158,252,341,400,170,194
ENSG00000026103.22,198,869,443,155,483,4184,770,2122,375,1316,1740,537,1097,2421,339,227,515,124,231,316,390,631,1764,779,203,422,300,680,245,670,280,184,494,89,957,551,416,2992,1168,523
ENSG00000026297.16,1843,890,1234,811,2057,3007,2525,4494,1927,17719,1630,4215,1632,3868,1930,1087,6464,270,525,2045,6750,2165,2309,22348,2103,1130,2826,2983,3909,1221,3581,3595,5906,3151,2577,3430,3960,4247,1324,2831
ENSG00000026508.20,22240,17037,6619,13343,17213,49746,32820,60161,13744,47999,17287,121707,27628,133831,15797,6437,24439,21344,15430,18159,36599,6510,34821,189437,14779,33315,22675,29331,55561,29682,59400,9246,20586,10064,14470,14732,22318,55736,8023,13929
ENSG00000026559.14,11,6,11,4,9,6,4,10,72,18,2,26,11,26,2,1,14,8,12,8,4,2,2,4,16,4,10,25,9,4,17,3,2,102,3,4,0,10,2,5
ENSG00000026652.15,1055,1220,224,514,911,690,965,934,732,4348,43,1018,974,418,2294,242,281,677,107,269,647,1828,253,177,494,1246,2031,1117,1190,1734,50,547,1681,1123,384,997,369,13038,795,1032
ENSG00000026751.17,118,165,170,140,126,675,79,86,124,1008,213,43,648,178,80,28,1067,3,53,67,243,665,205,243,118,429,48,767,39,71,19,35,580,92,190,482,224,969,898,169
ENSG00000026950.17,592,1426,2000,1146,1260,4166,1801,1701,1472,8606,252,2131,1714,1594,1469,234,1716,936,126,1968,889,2257,282,1482,1708,3225,1482,2472,1461,580,859,1126,3766,2519,2087,1432,659,2271,2426,1969
ENSG00000027001.10,184,365,371,110,114,1776,585,483,330,303,43,297,149,188,231,104,303,176,226,369,1162,769,126,724,157,344,69,208,484,299,338,378,190,78,145,221,55,1724,71,102
ENSG00000027075.15,2604,2285,1747,2008,1736,5286,1173,1134,2629,13170,886,749,4561,398,3161,173,1078,946,101,295,1214,1342,1051,359,2949,5944,847,5485,313,3018,99,1196,4837,760,5132,1861,678,2957,3309,2670
ENSG00000027644.5,106,2,20,28,4,12,12,8,17,62,10,10,71,113,9,1,11,59,1,1,5,90,11,2,27,6,12,9,3,7,3,13,23,9,27,20,13,5,82,14
ENSG00000027697.15,2834,4755,2170,3932,4606,3310,2855,3850,3225,12882,7284,2170,2922,12732,2355,427,4907,1105,1953,581,2690,2450,7198,4876,2011,2848,3278,2789,2885,2121,6093,3596,4664,4796,3326,9711,4615,4363,4647,6432
ENSG00000027847.14,1461,708,1003,337,558,1431,1618,1547,1046,3636,727,1990,1296,1280,882,401,560,881,310,815,1780,872,1117,1935,387,567,599,562,675,696,918,1120,878,429,586,667,685,1157,584,812
ENSG00000027869.12,573,209,1470,186,95,1282,412,180,194,1548,84,162,562,91,488,12,227,645,28,35,545,161,213,118,172,481,44,699,92,178,33,59,1346,201,348,339,156,329,365,249
ENSG00000028116.18,773,1270,1158,449,701,2272,1629,1108,916,884,501,994,512,825,567,272,702,489,404,541,520,2074,519,721,609,1549,546,1064,1588,1010,1073,1368,853,333,849,907,505,3142,579,928
ENSG00000028137.19,645,3864,2714,3016,1755,3572,1377,2943,2913,54234,3253,183,2673,3899,1757,196,7808,374,1165,199,2261,1800,8893,8351,745,714,1310,5950,3369,734,2195,2605,4742,2440,1150,6967,5126,7979,5227,5640
ENSG00000028203.18,3994,3974,2529,2110,1755,5552,5133,2419,2056,2860,1556,2397,2402,3750,2123,362,1855,4605,336,930,1270,2117,1489,1264,2001,3108,2038,3266,1643,2681,1674,1997,1471,407,2729,1350,1820,3576,1775,3067
ENSG00000028277.21,627,746,776,706,397,9507,436,2460,890,9278,266,777,814,6293,396,299,3857,144,2876,304,2356,2168,2246,43620,947,1615,365,2361,761,375,923,2057,2453,1836,526,1200,5185,4740,1076,2420
ENSG00000028310.18,3107,1672,2498,1451,1492,4247,5072,4559,2410,6496,1460,3163,3511,2606,2225,600,2559,1504,414,1204,1882,2191,1800,2965,2430,2309,2791,2018,1131,2561,8108,5460,3025,3084,1815,1706,2033,3404,1661,2052
ENSG00000028528.15,5579,4293,4166,2396,3609,4165,4872,5883,4777,7686,2184,5046,2890,2734,3016,966,5220,4927,902,2194,3291,4861,1501,3852,4058,4396,3394,5384,5184,3682,3484,2371,4557,3433,2994,3342,4188,6260,4062,5214
ENSG00000028839.10,163,393,334,574,195,1625,1057,415,614,670,325,583,411,710,340,95,202,469,199,351,528,648,867,1245,219,661,345,594,310,559,389,540,519,134,432,465,108,4222,956,394
ENSG00000029153.14,513,820,775,495,90,112,609,1029,153,213,40,122,391,189,143,227,113,436,379,144,1113,737,146,696,73,42,72,494,78,1982,99,162,125,37,210,122,115,495,260,630
ENSG00000029363.17,27367,16343,12038,11007,21313,41092,45360,26129,16626,17872,16675,24395,10340,47177,15942,4036,11352,18025,4739,11367,11482,13220,17397,17565,25298,26452,18168,20432,11864,19569,37982,19089,22552,14485,20698,13943,15537,42328,22912,18638
ENSG00000029364.12,2707,4257,3491,2022,1069,2590,3386,3456,2220,4178,1709,4579,1780,4854,2230,696,2172,1253,865,589,2973,3835,1729,6155,1593,2721,2389,2539,5572,3670,7672,4889,2903,1198,1445,1774,3390,5380,1724,2562
ENSG00000029534.21,2347,5036,7397,1611,2944,12131,22992,204,24221,765,117,1045,4862,562,18057,1126,340,6847,436,2766,925,10876,3671,472,4066,1352,12784,3289,1131,1843,167,106,2234,1341,2563,5709,1739,129861,19165,1249
ENSG00000029559.7,0,0,0,0,0,4,25,4,35,0,0,0,0,5,2,13,0,0,0,16,9,6,6,2,8,0,1,0,0,1,8,6,1,0,0,8,0,72,0,0
ENSG00000029639.11,206,389,631,381,155,304,279,301,204,279,83,195,157,164,192,48,330,280,78,160,380,681,52,537,226,262,84,194,390,182,82,156,113,112,82,152,189,739,126,148
ENSG00000029725.17,1518,1654,2060,1529,1078,3718,1914,1628,2147,5327,1002,2775,2684,688,884,376,1826,1341,319,891,1009,3312,1006,1598,1625,1640,1313,2709,1657,2257,1230,2183,2603,819,1268,1750,1967,4209,2539,2170
ENSG00000029993.15,1288,1070,1118,807,568,4614,3702,1647,1015,278,546,1060,781,2116,838,421,817,1131,1192,1110,2998,1547,2394,4792,864,1168,876,711,969,1630,2079,2103,516,568,530,548,433,4676,503,657
ENSG00000030066.13,1541,2777,5314,893,1732,4189,5081,3521,3235,2553,1222,2784,2324,2415,1683,834,2874,2894,756,1224,2105,7003,1840,2646,2339,2921,1847,2878,3535,3097,3958,5919,2682,2649,1884,2394,1932,10501,1882,2040
ENSG00000030110.13,1724,1519,840,1237,1068,2737,2689,2454,2088,3073,1785,1451,611,2675,1128,221,1567,829,850,1366,1647,1176,832,2604,445,1183,1152,1030,1096,610,1290,2190,1069,1320,715,775,514,1456,1082,1177
ENSG00000030304.14,10,11,10,2,0,0,6,3,2,2,0,1,25,2,9,0,10,2,0,0,1,19,0,1,1,1,1,27,5,13,2,1,0,4,0,7,2,13,0,1
ENSG00000030419.16,490,72,5180,190,310,513,252,56,2069,2699,209,1303,1368,108,958,295,459,739,39,3102,331,7037,166,75,1191,11497,178,2147,386,1937,32,271,2668,55,1013,1848,7197,1235,1505,1065
ENSG00000030582.18,2084,10051,8131,2140,13587,9130,10268,34637,13360,30127,16864,43997,8386,267016,24448,5817,14528,5012,13102,2984,37237,16727,24382,116456,2647,2289,13638,4266,17110,2945,28233,6125,3964,3152,2607,7139,7530,37198,4417,6176
ENSG00000031003.10,5656,6574,3905,2972,3983,4039,5745,3052,3197,4826,4140,4969,3624,3661,3032,661,3677,4336,983,1275,2547,4481,2502,2940,3961,5470,3905,4968,5460,4814,4911,6376,4557,2381,4642,2650,5598,4688,3932,4462
ENSG00000031081.11,183,354,80,1186,135,384,60,274,496,7375,62,678,565,1200,113,35,1205,502,268,73,82,929,337,1733,147,604,234,559,223,231,311,1898,380,480,242,668,297,1956,346,881
ENSG00000031691.7,48,161,228,76,31,439,128,71,106,45,24,154,164,157,41,43,91,58,71,41,72,499,118,210,52,198,50,148,181,153,188,238,150,42,31,136,77,869,195,158
ENSG00000031698.13,1534,1757,2218,1143,910,5905,2776,2673,2229,7553,812,2508,2088,2273,882,514,1499,1485,1547,1449,2996,2405,1356,9674,641,1161,1168,2646,1425,795,1204,1082,2313,595,1010,1095,3126,6315,1895,1683
ENSG00000031823.14,7553,1783,1960,3172,1377,5844,4397,2169,3939,8300,1680,3632,3275,2500,1613,476,1748,3157,654,932,2742,1818,2753,2797,2588,1944,2362,2271,1265,2395,1917,2043,2639,1750,2194,1479,2589,3686,3124,2419
ENSG00000032219.19,7034,4830,2347,3252,6849,8211,6120,5482,4416,7602,8760,4130,4116,11594,4250,1269,5300,4732,671,1445,2493,5813,7252,3261,4021,4442,6570,5802,2903,4954,4771,4597,5064,2497,5592,4272,5503,6306,9253,7426
ENSG00000032389.13,573,1052,1147,355,311,1571,1181,1633,807,916,70,873,306,670,503,445,678,448,325,737,2496,1294,149,3407,369,642,263,508,856,768,1013,731,432,347,255,319,193,2147,244,376
ENSG00000032444.17,3337,1356,3616,1600,1386,6094,5284,9102,3093,8983,1483,3219,1817,5636,3082,802,5356,3503,882,2606,4438,2915,1102,5329,1383,1569,1422,2046,1478,910,2657,1717,2671,2527,1467,3498,3613,11588,2282,1704
ENSG00000032742.18,463,562,578,134,215,1021,611,437,383,577,415,570,426,378,410,107,443,322,95,147,490,752,396,996,243,727,296,652,432,867,672,534,637,421,456,472,190,1168,315,581
ENSG00000033011.13,128,260,481,113,125,665,489,687,321,372,82,635,283,461,150,152,318,302,297,145,746,475,203,994,130,205,163,158,301,212,658,548,194,117,119,140,137,992,71,133
