Gene ID,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20
ENSG00000000003.15,44,29,8,9,5,554,30,1,19,12,0,3,146,11,20,7,1,457,5,2,19,25,50,4,8,1,93,9,25,5,3,10,10,3,12,18,5,75,24,12
ENSG00000000005.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419.13,1003,694,548,756,533,3154,1575,780,756,869,459,547,635,2774,539,257,566,575,490,323,1708,1281,1107,2165,875,984,432,892,471,1007,1267,930,979,931,721,618,564,2429,962,971
ENSG00000000457.14,787,695,592,463,182,858,302,309,231,753,228,522,549,191,219,93,406,350,93,249,388,1067,361,445,225,614,171,526,561,356,184,154,456,182,185,316,473,811,362,435
ENSG00000000460.17,201,475,720,123,183,738,431,317,336,232,342,475,223,265,260,239,470,282,97,287,625,1085,75,241,215,335,149,258,392,211,226,110,200,313,197,244,242,1569,162,350
ENSG00000000938.13,503,3057,3537,1400,10512,568,734,7256,4983,33873,6631,145,5292,9354,5025,519,15501,435,1459,209,2852,4816,7430,22769,473,685,2069,1475,1221,521,3185,1069,4690,4735,5360,9468,3333,11040,4626,5724
ENSG00000000971.16,583,154,72,15,6,181,144,181,305,7,3,41,124,29,118,97,19,4795,16,37,1257,139,126,8,22,9,20,137,27,475,8,87,2,18,7,45,5,528,659,60
ENSG00000001036.14,510,963,1166,145,296,1791,969,1011,737,392,361,900,498,2517,816,355,726,1170,842,703,4064,1037,858,8416,330,589,471,375,1128,641,2648,1199,347,346,391,307,432,2336,279,406
ENSG00000001084.13,1176,1836,1208,1350,791,2791,2909,1419,2428,721,585,864,1511,1735,2526,296,455,1686,729,660,1187,3124,1194,2623,1196,2331,2398,1525,1629,2460,1837,1850,1028,1120,917,1102,1064,21850,2249,746
ENSG00000001167.14,872,1176,2216,545,1428,4519,4325,1583,1388,1507,486,6524,1088,2277,1044,409,823,1032,161,1845,1592,2852,821,2567,1786,5600,724,756,1871,840,3018,853,931,1190,957,1075,414,4433,952,602
ENSG00000001460.18,141,181,241,118,62,86,278,118,164,171,42,378,158,107,97,49,163,71,43,81,278,266,85,291,58,262,102,89,311,104,177,96,127,28,60,105,62,468,144,140
ENSG00000001461.17,626,1632,2347,510,549,781,1759,1397,585,2790,190,2145,852,415,663,302,770,439,158,895,1256,1564,291,1620,554,1389,298,1331,1942,498,662,427,1671,276,471,627,580,2822,716,720
ENSG00000001497.18,3583,2328,3042,1395,1489,8916,5349,3523,2288,3842,1299,3032,2357,2667,2105,958,1649,2754,788,1957,3379,2126,887,3212,1281,2579,1510,1780,3146,2063,3397,2164,2038,786,1862,1273,1212,4538,1402,1707
ENSG00000001561.7,208,617,103,186,92,753,198,252,978,610,1015,442,767,1777,328,125,212,1063,1110,504,714,1066,1334,881,296,1623,1366,483,680,1345,3097,1950,950,563,1621,2381,250,2744,917,513
ENSG00000001617.12,2011,93,47,412,165,82,100,160,921,378,541,467,469,547,42,65,158,876,38,9,502,145,1739,255,214,9,193,107,115,58,47,363,158,689,163,269,217,79,411,794
ENSG00000001626.16,1,1,0,3,0,0,0,0,0,3,0,0,1,0,0,0,1,1,0,0,2,0,1,0,3,0,0,2,0,0,0,1,0,0,0,2,0,0,0,2
ENSG00000001629.10,1556,2233,2105,796,1045,2310,1843,2212,1129,3724,677,3014,1326,862,824,277,1212,1226,272,870,668,3368,604,2011,1440,3688,625,2645,2310,1685,1406,1266,2126,1776,1295,1444,1605,4062,1010,1862
ENSG00000001630.17,77,76,122,145,99,141,102,82,96,113,54,151,53,79,73,20,78,143,20,72,56,99,33,16,116,20,80,49,62,18,82,63,43,98,59,53,59,142,115,20
ENSG00000001631.16,229,426,368,215,210,313,229,258,182,444,189,233,298,204,187,49,264,210,12,106,231,449,117,451,319,435,218,410,225,477,216,325,337,391,320,368,247,672,180,507
ENSG00000002016.18,866,523,778,493,664,710,648,597,477,1333,317,1247,807,254,354,98,754,692,117,359,429,1702,301,683,599,1040,527,679,890,367,229,853,438,1550,299,531,393,4274,537,539
ENSG00000002079.14,24,15,15,18,8,0,4,2,12,71,18,23,37,4,4,2,20,13,0,4,9,20,7,5,5,11,2,13,35,22,6,27,11,5,6,11,4,15,27,8
ENSG00000002330.14,288,127,237,166,164,339,341,198,226,362,192,191,130,235,126,51,94,107,61,115,481,204,178,717,78,107,102,81,65,90,143,106,101,46,48,76,117,339,171,75
ENSG00000002549.12,803,1744,1495,1435,764,11610,4235,2691,3411,3382,388,1962,1166,2907,1495,590,1158,1905,2710,1274,4734,2691,1694,7798,654,2328,838,1412,1803,1413,3021,1296,1034,793,1154,1312,853,7546,550,1175
ENSG00000002586.20,35326,7334,3508,3254,3260,50487,13172,17900,2688,6481,4498,27133,804,22551,2111,3564,6929,1798,3096,19303,40364,3136,9822,66596,5466,8346,3044,8693,5887,8163,3381,3478,1943,1290,3311,1953,4518,13141,921,5844
ENSG00000002586.20_PAR_Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002587.10,9,9,2,48,10,1935,79,5,29,148,2,13,30,22,10,6,175,3,4,1,46,622,163,1,11,12,267,118,6,42,1,19,69,18,51,63,4,121,20,35
ENSG00000002726.21,32,97,86,1,0,3,129,155,180,9,8,97,14,4062,82,45,228,32,1,39,910,82,50,0,5,29,8,23,40,4,615,3,1,10,28,1,0,58,14,10
ENSG00000002745.13,24,0,3,24,5,31,3,5,31,75,6,8,11,1,5,0,39,2,4,4,0,63,8,20,41,11,16,39,16,11,0,7,53,5,6,31,10,6,73,14
ENSG00000002746.15,11,0,8,7,2,8,1,1,33,7,8,10,4,1,2,1,8,0,0,1,11,85,2,11,9,3,5,3,6,6,3,20,4,4,9,1,7,87,15,5
ENSG00000002822.15,205,116,210,165,105,126,226,212,167,675,90,291,390,61,124,4,279,123,30,17,86,334,40,50,178,177,233,195,47,220,128,231,223,291,273,181,108,221,208,76
ENSG00000002834.18,15919,9243,5979,3828,8656,14216,16673,12642,11054,21543,23265,20822,8301,20339,8173,1930,6501,5728,2320,4322,12262,7118,9624,14104,3279,5026,7522,6327,6707,3833,5575,5576,6135,3646,5722,6219,5757,11204,12122,6893
ENSG00000002919.15,1054,1431,670,902,814,2212,2193,1450,1635,2857,1673,878,983,1457,1283,307,1157,1470,665,752,1508,1259,1034,1877,895,593,1725,786,783,991,1949,2441,764,247,700,880,689,1853,1101,853
ENSG00000002933.9,96,21,1,7,2,77,33,383,752,264,4,34,33,2036,9,178,370,9,183,31,125,145,88,76,27,7,13,298,9,5,188,12,106,60,13,32,3,1619,26,140
ENSG00000003056.8,1234,3496,3365,1142,1320,4697,3212,5405,1942,2895,434,3914,1413,4183,2150,1207,2258,1131,1745,2022,6571,3386,1543,6004,649,2296,1208,2024,4450,1553,5326,3365,1705,902,684,1159,1938,5944,998,1698
ENSG00000003096.14,32,236,453,39,12,1447,56,667,29,30,5,57,19,307,253,42,6,35,20,6,34,229,79,112,409,1961,7,21,2359,79,82,369,4,41,80,11,8,679,86,205
ENSG00000003137.8,18,1,1,1,0,2,2,0,7,95,0,3,5,4,2,0,0,2,0,0,4,11,15,0,1,0,1,0,2,1,4,20,1,9,2,11,2,6,1,1
ENSG00000003147.19,308,839,89,7,1149,170,157,10,301,50,401,239,392,35,377,638,89,619,43,192,3032,985,300,1140,296,17,322,336,1056,452,203,38,435,181,624,492,254,986,331,493
ENSG00000003249.15,707,46,16,81,35,132,161,40,33,33,215,835,75,192,26,3,18,138,3,26,44,51,19,18,27,33,311,11,143,8,141,18,27,17,39,3,7,16,40,6
ENSG00000003393.15,1575,1756,1647,736,429,1345,2183,2281,551,992,668,6190,875,1176,2380,392,633,2474,88,1580,1087,1926,836,945,561,2113,604,1359,1631,1740,1007,932,650,543,560,677,312,2894,930,2016
ENSG00000003400.15,3408,4207,2994,3406,2793,4964,2646,2562,2368,3469,1453,1136,1562,1454,1726,386,2671,4592,542,1484,2186,2856,1022,1658,1075,2435,1765,2794,1052,3379,1107,1231,1771,1368,2503,1940,1839,3656,4341,3150
ENSG00000003402.20,5531,10807,8115,12200,15452,10115,8813,8863,8058,34195,13155,8963,12977,9506,11213,1832,9377,5974,1289,3111,6611,9187,7315,4371,4573,8025,8199,7579,6831,7833,11701,8875,11171,9441,7932,12900,8642,10766,11507,8790
ENSG00000003436.16,4039,3579,928,3626,439,19293,3359,1513,296,164,444,64,690,39,1702,223,22,1056,76,765,1208,499,1066,217,984,5536,197,3605,2145,6547,79,240,178,58,2611,1390,193,2677,1039,2895
ENSG00000003509.16,387,594,529,418,406,751,674,476,327,1178,144,405,710,317,408,81,605,248,114,247,398,636,278,933,301,417,379,620,679,509,304,641,788,241,509,503,443,907,623,617
ENSG00000003756.17,9013,8090,5101,4178,8918,8089,12384,7553,8210,13773,7699,8331,7742,6546,6843,1580,6122,10094,611,4262,4452,6690,5052,3608,9407,7647,6293,10075,6604,8470,7203,6095,8553,7357,8719,6954,6192,11111,6891,8538
ENSG00000003987.14,388,504,246,377,381,435,332,487,235,584,590,489,625,107,676,62,418,223,24,49,176,316,212,104,350,425,304,480,200,860,173,272,407,130,291,346,812,347,643,642
ENSG00000003989.18,63,39,1,1,1,1,27,16,91,0,10,29,1,2,8,18,16,11,21,2,54,8,29,57,20,1,12,5,5,8,3,24,0,1,1,15,3,110,5,1
ENSG00000004059.11,2361,2045,1571,901,1441,4708,3763,3685,1542,3429,1418,3060,1084,3526,997,285,1348,1826,788,2549,4233,1804,1453,4123,470,1381,860,798,1366,971,1545,1055,920,213,771,735,658,3226,630,885
ENSG00000004139.14,783,280,223,304,157,333,606,245,233,1628,226,377,511,250,413,58,190,79,47,32,418,260,215,95,222,168,379,308,284,333,285,783,447,215,143,200,270,301,245,187
ENSG00000004142.12,2022,2566,2086,1006,1126,7983,4616,3878,2347,2931,1253,3304,1476,3831,1491,1131,1238,1768,1204,2070,5800,2134,1650,7648,619,1305,1229,1220,2401,1874,2925,2959,1406,267,869,1006,717,7033,873,1236
ENSG00000004399.13,12205,8934,11798,3424,7700,22354,28190,13726,3137,10547,3567,35236,2020,13461,3325,4450,5749,3244,731,9894,19981,7791,1328,1198,987,16220,2048,7211,16187,3074,17025,6231,7316,4051,1411,1957,1963,11015,1139,8011
ENSG00000004455.17,3922,9791,6259,1950,2980,5865,6335,15698,6111,4257,2373,6168,1832,12692,4073,2477,7515,1615,6019,2015,19956,8883,1536,32815,4310,5488,4156,1944,15758,3658,28451,8080,3860,2823,1553,1922,14745,14184,1604,2364
ENSG00000004468.13,861,10131,10720,252,2120,7119,5147,10177,3448,4520,332,1908,727,849,8601,2499,2545,162,1489,5937,16960,10629,2608,8037,1084,576,677,2636,15435,7627,18700,1769,3757,486,1131,2226,4380,6047,1002,3360
ENSG00000004478.8,1129,952,1996,362,1080,3694,3919,2805,2044,973,303,2191,637,319,583,943,1072,1824,455,1604,3969,2065,470,720,308,3039,267,630,2378,965,879,490,394,365,578,700,422,7038,472,803
ENSG00000004487.17,11959,5099,4143,3742,3214,9856,9818,5659,5212,4130,3333,9114,3112,3160,4202,1351,2926,10009,878,3841,7874,4752,2796,5929,4284,5312,4676,4078,4946,5176,3048,4425,2873,3036,3770,1994,3018,9769,3690,4767
ENSG00000004534.15,4390,2866,4302,1914,2357,4378,5660,3522,3719,4935,1186,4484,2452,2808,1736,742,3879,4444,675,2391,3524,6632,1770,7402,3139,3488,3119,3481,3913,2962,3387,3553,3230,3511,2925,2669,3768,6706,2596,2521
ENSG00000004660.15,559,353,317,655,876,367,459,1037,652,3879,806,1447,372,1035,406,109,912,240,92,59,318,547,422,493,555,203,600,539,474,168,1164,978,486,372,598,1592,1187,886,780,1334
ENSG00000004700.16,286,555,1022,292,387,1319,878,599,574,1045,243,802,821,846,263,105,686,582,194,220,221,1547,335,411,360,986,327,783,647,561,1090,653,940,413,365,695,627,2520,381,565
ENSG00000004766.17,316,854,1117,336,379,678,697,547,567,1102,122,661,781,181,372,55,548,407,81,222,223,2176,218,757,524,1013,360,1082,822,866,430,417,790,528,620,1048,444,4139,1379,617
ENSG00000004776.13,27,0,11,8,0,9,4,4,52,4,3,7,7,121,0,8,8,3,315,1,25,18,8,199,7,1,7,1,0,9,21,44,6,4,0,1,10,52,19,8
ENSG00000004777.18,2987,776,2238,667,1472,4343,3943,1811,1425,300,673,3296,317,5397,727,414,541,2517,145,1752,3427,1817,1612,3882,576,1540,957,218,848,433,1903,943,673,860,551,827,535,2662,762,995
ENSG00000004779.10,525,332,409,369,195,4080,1323,1275,503,499,206,541,431,1460,282,462,363,469,1362,655,4071,886,1248,7496,197,407,390,309,395,473,802,482,333,59,172,214,167,4596,247,362
ENSG00000004799.8,4,104,7,6,36,15,76,19,399,623,6,10,42,77,70,16,315,2,172,11,8,379,112,440,39,21,284,64,107,24,871,219,500,878,313,1576,13,802,60,406
ENSG00000004809.14,381,1097,597,109,589,486,761,941,614,13,143,2603,238,397,641,420,267,111,136,210,1870,1710,452,1325,510,853,351,497,1750,196,779,534,348,292,280,538,674,4416,360,221
ENSG00000004838.14,587,22,73,208,73,101,53,73,210,103,77,217,43,102,39,10,82,110,11,49,53,263,1,433,99,49,109,25,38,14,237,62,50,106,71,32,102,141,231,59
ENSG00000004846.16,7,17,4,8,3,3,5,0,30,4,1,1,5,0,27,1,4,4,1,0,7,11,2,0,22,3,36,22,0,0,0,1,12,4,11,0,8,221,39,2
ENSG00000004848.8,6,0,0,6,1,3,0,0,4,0,0,1,26,0,1,0,3,9,1,0,1,12,3,5,2,0,0,1,0,1,3,4,1,0,1,1,1,2,5,0
ENSG00000004864.14,861,1371,1031,533,826,2038,1337,845,1033,1111,773,692,718,1075,356,217,1153,410,314,448,964,1507,722,3068,812,1167,1300,1065,2003,916,799,1371,898,871,811,814,1974,3016,1058,1178
ENSG00000004866.22,57,261,5,95,239,3148,224,29,699,185,324,409,818,910,535,162,67,976,262,720,172,647,381,1776,360,65,907,305,373,110,372,768,177,218,373,315,45,3561,552,686
ENSG00000004897.12,3894,4901,2762,2306,2526,7494,4698,1852,6088,5051,3713,2759,3422,4275,2949,424,2501,2491,1482,617,1492,5978,3006,3797,3509,3092,5831,4790,4647,4394,2858,5006,4878,1990,4329,4038,3200,29006,7023,5348
ENSG00000004939.15,9065,21410,215,5392,12480,16763,68044,344,88035,231,644,2707,12589,2036,74611,6622,593,1064,1555,5308,2785,21288,14628,2080,21292,4607,64465,12517,6396,6008,561,136,10638,2231,12079,7409,12827,538804,78964,4794
ENSG00000004948.16,0,0,0,2,0,0,0,0,1,4,0,1,0,0,0,0,1,0,0,0,0,5,0,0,3,1,1,0,0,0,4,0,1,0,0,0,0,13,2,2
ENSG00000004961.15,384,446,334,450,262,2087,664,452,577,536,401,430,307,902,313,92,350,314,221,331,870,694,589,1486,238,303,371,287,278,231,500,319,448,116,320,292,227,2170,580,312
ENSG00000004975.12,3345,1592,1602,963,773,2553,2992,1867,1325,2496,865,2949,1329,11447,586,544,880,2292,368,1500,3301,2643,687,2409,1029,1021,1852,1308,1539,1324,2443,1878,1675,461,600,662,1590,2614,1274,1447
ENSG00000005001.10,5,0,0,2,0,0,10,1,5,11,3,6,336,4,0,0,0,130,0,0,1,4,1,0,0,2,2,2,1,0,1,1,1,1,13,1,0,2,2,1
ENSG00000005007.13,17357,5993,5042,6312,4266,9810,11258,7184,6932,13237,6708,9740,6292,6232,3940,870,3838,6475,1356,1920,5027,5374,4737,3349,6582,3727,6255,4052,5239,3998,8487,5579,5414,3734,4312,3690,6404,7717,6039,6220
ENSG00000005020.13,1077,3514,3697,400,1819,2225,4296,4766,1309,728,451,68,149,2145,817,821,237,90,1795,722,5671,4658,499,10816,454,1861,555,1917,4936,1736,6686,117,1166,988,1666,1618,35,7860,439,592
ENSG00000005022.6,8032,12213,7528,6400,3129,74139,19715,15617,9941,6323,3560,8903,2795,21302,5422,3529,4600,5543,7322,9943,28713,11296,5337,59551,4015,6365,5224,5200,12994,6616,14073,17617,6100,1002,2267,2417,4164,24054,3309,6706
ENSG00000005059.16,485,304,247,254,225,1154,217,457,950,3843,108,472,790,2966,372,119,526,594,331,191,709,1396,650,2682,697,460,280,1396,193,782,63,239,1655,144,576,875,241,2789,448,1137
ENSG00000005073.6,1981,14,79,4,1,3,24,285,234,0,23,1,3,17,1,0,83,0,880,0,4825,3,7,3778,2246,9,4,1,145,83,18,5,422,19,0,1,789,135,1,1
ENSG00000005075.15,421,288,336,294,252,4809,1479,1173,515,1160,577,761,402,4047,308,314,299,391,676,856,4681,439,1626,9692,175,340,388,323,240,260,606,405,405,107,272,240,186,3547,447,321
ENSG00000005100.13,638,871,1481,297,205,1326,2292,1311,971,1024,152,1960,918,458,405,520,705,789,315,639,1550,1779,345,1385,640,1054,288,671,1567,1137,1343,1154,581,702,357,552,587,2648,324,400
ENSG00000005102.14,57,1,0,11,1,6,2,0,3,35,4,24,4,8,3,0,2,2,0,0,2,5,2,0,7,3,2,5,0,4,1,5,1,0,7,3,5,9,6,3
ENSG00000005108.16,6,6,0,1,284,10,3,0,19,22,48,2192,8,19,49,5,6,12,1,0,13,24,3,24,3722,5,7,2986,708,6,53,5,4,25,0,6,6,18,2,5
ENSG00000005156.12,7933,4900,4150,2530,3739,2542,6490,5329,3319,8764,3541,5905,3296,1858,3225,698,3555,4718,443,835,3565,2512,1368,1658,3362,4209,3395,3543,3825,3916,3854,3452,2836,1637,3115,2422,4384,5826,4644,2712
ENSG00000005175.10,753,1023,1182,389,603,3159,1058,1124,763,1143,554,1132,540,790,522,273,929,1175,438,459,874,1839,421,1526,905,1235,912,1335,1697,1578,1035,672,972,380,577,646,1065,2787,825,1176
ENSG00000005187.12,12568,2788,1440,1084,4683,909,6265,1209,6707,4812,573,5942,587,316,16969,2193,1388,82,87,553,3937,4627,213,103,5748,367,1329,903,986,6064,1021,733,2856,359,3472,1413,7761,1549,4919,3363
ENSG00000005189.20,802,1299,1236,387,382,1632,1543,1035,643,69,187,675,215,1024,695,289,348,292,207,2222,2307,1141,339,1259,138,847,235,387,1034,810,972,633,441,241,298,303,392,1647,696,359
ENSG00000005194.15,1231,1293,1057,1335,516,4287,1558,1516,1205,2168,566,1065,1054,1902,642,427,763,870,755,904,2032,1158,1389,4153,313,683,921,738,1428,1318,1118,1983,818,240,491,522,579,3434,519,917
ENSG00000005206.17,4746,3130,3651,1865,2392,12200,6297,4716,3090,15655,800,10975,2191,3978,1680,736,1586,2927,490,4309,5128,5336,2951,6249,1868,2970,1747,3258,4118,2166,4070,2654,4027,2469,1836,3141,4828,4420,1802,3146
ENSG00000005238.20,1660,1317,990,1552,1031,1368,1295,1283,3136,7084,1850,1950,1841,2770,2294,362,1630,581,290,611,656,1359,2112,3590,581,402,2646,751,798,233,1981,802,1171,803,806,1443,1370,12542,4153,2263
ENSG00000005243.10,12,19,1,11,0,26,8,20,37,19,9,4,9,29,5,3,7,5,58,2,42,41,31,264,5,5,13,4,12,3,6,1,5,10,3,4,4,32,12,6
ENSG00000005249.13,504,3953,3292,440,362,4905,4999,2406,2267,1567,162,89,246,2171,1010,403,887,1153,3201,571,9296,4793,2395,14785,2408,413,701,470,326,2006,1307,267,376,564,1183,1987,4487,16282,5156,603
ENSG00000005302.19,1784,2156,1616,1890,2666,9217,2512,3339,2497,12387,1320,1780,4028,3877,1869,629,2593,1649,617,1799,2194,2926,2648,4403,2417,1605,2623,3688,2096,1566,1236,1502,6404,2085,2369,3450,2710,4829,2803,3230
ENSG00000005339.15,28180,7101,9042,13937,10519,30202,23908,9434,19714,35008,11523,17909,13409,16019,10241,3310,7804,12500,3464,3468,20384,9069,16410,6880,6889,10391,8138,10167,5649,10987,5579,10144,12910,6772,11461,8871,6825,23978,18813,15835
ENSG00000005379.17,15629,3650,9599,4253,4024,5574,16372,5184,5508,5935,8098,66834,6162,6453,2745,476,3097,4807,300,2601,3737,9906,7829,13490,8150,8656,3690,2506,9538,8322,3023,29584,5845,9484,2379,1913,6044,5580,4499,6226
ENSG00000005381.8,61945,78523,16559,6296,158675,26842,99995,102426,67859,623,64207,2460056,53668,7867,238058,386354,176011,1842,498,225065,153225,250392,26143,4504,98329,8652,10877,61057,7290,42931,2763,1794,6099,2342,6536,3707,223462,72764,21488,129449
ENSG00000005421.9,22,3,0,3,0,0,0,0,3,8,0,0,5,0,10,0,1,1,0,0,0,7,2,2,6,0,1,16,87,3,1,3,7,0,30,6,0,18,9,0
ENSG00000005436.14,169,396,424,348,225,2002,462,529,292,528,171,800,357,853,286,180,294,225,271,242,668,820,127,921,654,1220,746,806,1798,755,653,768,804,255,476,363,342,2102,333,594
ENSG00000005448.17,246,378,367,136,78,1131,635,838,175,484,57,418,100,191,216,199,179,140,167,308,2236,338,266,907,93,353,82,99,161,252,297,199,166,56,70,98,100,508,73,123
ENSG00000005469.12,117,203,421,70,108,419,298,144,106,288,49,297,168,195,81,20,89,152,46,200,252,438,43,387,295,666,52,206,335,145,91,31,244,149,138,174,101,504,100,73
ENSG00000005471.19,41,17,21,61,88,31,26,7,334,1719,24,43,171,23,12,9,103,7,46,11,61,552,35,265,161,69,26,287,43,18,22,77,733,6,120,425,15,134,136,50
ENSG00000005483.21,19112,12209,9547,9266,10213,49489,19773,10835,12646,26177,18769,12933,14120,34767,4964,1804,8364,9766,3084,6079,8362,10778,30909,16376,8903,12363,11762,13710,8159,10721,15729,13128,15536,4940,11784,11370,12136,18682,20322,16981
ENSG00000005486.17,2827,911,1898,840,584,7583,6933,1375,1600,8645,2031,3171,2655,6010,1548,667,1011,632,956,1409,3526,506,4510,6475,395,825,947,1970,441,881,2165,1671,1884,190,1078,1098,712,2462,1303,1299
ENSG00000005513.10,42,2,6,28,3,36,10,0,58,49,4,7,62,6,6,2,4,3,0,0,72,124,45,4,9,1,7,98,1,9,2,30,29,1,15,5,2,5,10,12
ENSG00000005700.15,1608,3184,2758,2070,866,5351,2557,3133,1549,2719,1077,4204,1798,1789,1098,448,1816,890,1134,880,1456,5055,1250,4083,2027,3804,1085,3154,4693,3107,2560,3401,2640,1885,1301,1776,3273,7261,1237,3265
ENSG00000005801.18,2285,1854,2296,357,722,4056,5454,1995,1019,1272,640,2564,1913,2572,1421,529,1235,1925,289,1279,2105,2359,2001,3065,2589,3428,1389,1588,2423,3300,3228,2496,1639,2360,939,1057,913,4394,946,1935
ENSG00000005810.18,7476,15071,15872,6936,9793,12357,13549,19156,10242,19892,3587,16977,8076,5224,9839,1833,11184,11264,1480,3208,2848,15949,2194,6225,8995,24533,4097,14148,13073,10240,8166,6371,9779,8693,10297,6696,14285,15765,6628,8984
ENSG00000005812.11,1864,1249,988,1487,2246,5652,3412,1567,2253,2252,3660,2306,2168,8595,1666,377,1379,2192,364,1292,1545,2498,3520,3505,2662,2684,2062,2974,966,3563,3056,1862,3499,1111,3064,1660,886,5762,3738,3269
ENSG00000005844.19,1261,3505,3270,8779,3212,9590,2022,16766,2830,14168,996,1215,2839,19131,4197,676,11988,297,2540,5355,4260,4254,2497,23470,1793,7306,1409,7126,3240,1233,4027,6443,5473,4692,2756,1883,8239,17709,2711,2969
ENSG00000005882.12,350,277,367,220,83,1612,757,493,243,460,73,936,278,521,307,231,237,653,227,374,1249,274,230,549,114,315,274,230,546,144,334,229,267,27,110,81,110,936,120,133
ENSG00000005884.18,173,29,23,129,48,56,19,35,42,103,33,117,342,36,27,7,31,613,4,6,119,57,18,18,29,193,12,40,31,15,26,14,22,16,21,22,8,66,26,186
ENSG00000005889.16,5473,4587,4243,2336,3432,8360,8191,2917,6175,6371,3881,3758,3841,11986,2837,555,4334,2796,934,1412,2616,7583,4876,2544,4260,4213,4017,5555,4873,7103,4784,5752,4277,2256,4752,2028,2608,8275,5961,3958
ENSG00000005893.16,6776,16022,5836,4040,6707,28690,11230,12098,5031,6634,6370,13297,4065,28134,7565,2099,6802,2275,5422,2583,29382,6491,10550,30675,4809,6226,6274,6852,21225,14752,30347,12161,6965,1231,3180,3862,12338,15403,6316,9416
ENSG00000005961.19,656,8978,23294,3789,126,8895,10002,1013,801,2334,442,2069,6129,184,3391,19,78,53379,66,819,1281,5454,892,650,92,201,451,265,1010,715,173,90,3397,174,4547,889,80,2010,11543,361
ENSG00000005981.13,0,0,0,0,0,1,0,0,2,2,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,1,0,0,0,0,1,0,0,2,0,0
ENSG00000006007.12,7129,3079,1269,1626,882,6755,5652,2681,2329,2696,3672,3467,2138,3576,2375,1188,1357,1905,1306,2282,6625,1553,2928,4340,794,2005,3438,1907,2895,2279,2294,3091,1985,199,1069,831,3052,11404,5536,2554
ENSG00000006015.18,927,400,512,331,361,3438,1851,2198,686,786,168,1199,213,1592,571,459,639,947,645,1732,3735,770,512,5748,320,332,390,217,697,197,670,584,275,277,252,122,190,2294,153,261
ENSG00000006016.11,36,10,21,14,7,4,26,16,24,67,10,23,30,11,16,0,18,28,1,5,18,48,3,16,15,9,25,12,17,9,50,49,21,23,8,3,29,24,41,13
ENSG00000006025.12,2850,812,1479,523,645,1540,2261,1962,915,3356,650,2545,982,1282,834,360,800,1755,178,1367,1943,963,509,2721,421,1717,1016,815,1345,680,1484,1321,1689,810,686,662,1069,1144,644,1557
ENSG00000006042.12,136,11,1,2,2,3,9,2,32,4,0,1,38,3,4,4,4,317,0,13,41,3,10,0,3,6,4,76,4,2,1,11,2,8,1,29,4,218,7,3
ENSG00000006047.13,16,19,18,13,22,49,172,0,280,4,4,12,41,15,94,1,7,14,3,123,1,227,42,5,22,24,232,58,3,26,5,1,42,21,39,40,11,658,152,41
ENSG00000006059.4,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
ENSG00000006062.17,1350,439,1027,1170,493,2155,990,860,1447,6795,688,462,1498,1935,525,122,879,415,150,491,848,1101,1004,399,319,764,1061,1010,358,315,762,917,1429,290,538,721,121,988,870,1211
ENSG00000006071.15,16,1,0,7,3,2,3,1,14,4,3,26,39,4,1,0,7,17,0,2,13,100,7,0,6,4,7,4,0,2,2,11,2,9,192,2,10,11,10,51
ENSG00000006116.4,2,1,0,3,1,2,0,1,6,1,0,0,0,0,0,0,1,0,0,0,0,39,0,0,0,1,0,2,1,0,1,1,2,0,1,2,6,0,5,0
ENSG00000006118.15,149,44,83,282,469,13,15,120,503,1667,515,39,114,27,395,5,575,130,2,1,39,140,21,37,80,31,368,241,8,7,229,201,325,748,235,339,74,266,782,516
ENSG00000006125.18,9826,13070,10571,4153,4237,21177,18674,11878,9140,7655,2540,14789,5286,6490,7920,2947,5568,10868,3807,4573,13837,8627,4357,8369,4766,9653,7601,7677,10622,7775,7611,5800,5700,2025,4552,4565,3290,38340,8754,6349
ENSG00000006128.12,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
ENSG00000006194.10,1423,1326,1360,2642,573,3735,2503,935,1096,3010,943,2724,1298,1057,1038,280,680,2070,235,1263,1586,1452,498,1323,646,2093,1028,1210,1408,738,1537,1283,1666,194,765,618,869,1946,1340,1407
ENSG00000006210.7,4,9,0,63,4,5,9,2,8,6,0,3,6,0,2,0,4,24,0,0,13,4,4,2,2,0,1,2,0,2,3,7,1,0,2,2,3,7,2,2
